metric,n,phase10_mean,phase25_mean,delta_mean_phase25_minus_phase10,lower_is_better,phase25_improved
rmse,38,0.05656751035030019,0.042421408771447976,-0.014146101578852224,True,True
mae,38,0.01793318469360401,0.01385950256497342,-0.004073682128630589,True,True
relative_volume_bias,38,-0.1465391463066512,0.010672151079109578,0.15721129738576078,False,
wet_area_contraction,38,0.12713008019018177,0.020936103838327585,-0.1061939763518542,True,True
peak_depth_underprediction,38,0.2503681182861328,0.21309905930569298,-0.03726905898043984,True,True
false_dry_rate,38,0.23167214330084154,0.07911686646428699,-0.15255527683655457,True,True
false_wet_rate,38,0.014134507651864022,0.016484183323280936,0.002349675671416919,True,False
connectivity_loss_indicator,38,0.2894736842105263,0.4473684210526316,0.15789473684210525,True,False
largest_component_ratio_change,38,-0.060571774225513,-0.06567742755953625,-0.005105653334023212,False,
