comparison,metric,phase27,phase29,delta,lower_is_better,higher_is_better,improved
phase29_minus_phase27,metrics_json_rmse,0.04238098134335719,0.044385452117574845,0.0020044707742176565,True,False,False
phase29_minus_phase27,metrics_json_mae,0.01728477162358008,0.017846242916819296,0.000561471293239215,True,False,False
phase29_minus_phase27,metrics_json_wet_dry_iou,0.8128013736323306,0.801640952888288,-0.011160420744042665,False,True,False
phase29_minus_phase27,metrics_json_rollout_stability,0.9901222963082162,0.9895110600873044,-0.0006112362209118594,False,True,False
phase29_minus_phase27,metrics_json_step_rmse_std,0.010022604690962717,0.010641243124968912,0.000618638434006195,True,False,False
phase29_minus_phase27,aggregate_relative_volume_bias,0.024661645313518284,0.019463952752868222,-0.005197692560650061,False,False,False
phase29_minus_phase27,aggregate_absolute_relative_volume_bias,0.024661645313518284,0.019463952752868222,-0.005197692560650061,True,False,True
phase29_minus_phase27,mean_step_relative_volume_bias,0.09816026446037503,0.05675444004017884,-0.041405824420196184,False,False,False
phase29_minus_phase27,mean_step_absolute_relative_volume_bias,0.25727435161304313,0.23044686152902988,-0.02682749008401325,True,False,True
phase29_minus_phase27,false_dry_rate,0.06891746410104499,0.07398907758877052,0.005071613487725529,True,False,False
phase29_minus_phase27,false_dry_volume_loss,5409.72035580501,5964.833121955395,555.1127661503851,True,False,False
phase29_minus_phase27,false_wet_rate,0.01585000749599078,0.01698924666049825,0.0011392391645074704,True,False,False
phase29_minus_phase27,false_wet_volume_excess,7750.3247795403,8289.765043199062,539.440263658762,True,False,False
phase29_minus_phase27,wet_area_contraction,0.0,0.0,0.0,True,False,False
phase29_minus_phase27,peak_depth_underprediction,0.12804519267458664,0.13459338849050956,0.006548195815922919,True,False,False
phase29_minus_phase27,rmse_from_maps,0.04347738381281512,0.04535330322810035,0.0018759194152852265,True,False,False
phase29_minus_phase27,mae_from_maps,0.017284770923402824,0.017846242383489606,0.0005614714600867821,True,False,False
