guardrail_group,metric_name,region,direction,baseline_reference,failure_mode_addressed,required_before_training,notes
standard,overall_rmse,all_evaluated_cells,must_not_worsen_beyond_predeclared_tolerance,Fixed Phase 25/27/29 standard evaluation baselines before any pilot,Global depth accuracy regression hidden by proxy gains,yes,Standard model-quality guardrail; threshold must be fixed before seed42 pilot.
standard,overall_mae,all_evaluated_cells,must_not_worsen_beyond_predeclared_tolerance,Fixed Phase 25/27/29 standard evaluation baselines before any pilot,Global mean absolute depth error regression,yes,Keeps future proxy design comparable to prior standard tables.
standard,wet_dry_iou,all_evaluated_cells,must_not_decline_beyond_predeclared_tolerance,Fixed Phase 25/27/29 standard evaluation baselines before any pilot,Wet/dry classification degradation,yes,Prevents a volume proxy from masking classification failures.
standard,rollout_stability,full_rollout,must_not_degrade,Fixed Phase 25/27/29 standard evaluation baselines before any pilot,Unstable temporal rollout or accumulation behavior,yes,Design-level criterion only; no rollout is executed by this script.
valid_domain,valid_domain_rmse,valid_domain,lower_or_no_worse_than_predeclared_tolerance,"Phase 27=0.0460827; Phase 29=0.0480984; delta=0.00201574, improved=False",Phase 29 valid-domain RMSE regression,yes,Valid-domain mask is absolute_DEM < 99; proxy diagnostic only.
valid_domain,valid_domain_mae,valid_domain,lower_or_no_worse_than_predeclared_tolerance,"Phase 27=0.0183693; Phase 29=0.0190492; delta=0.000679958, improved=False",Phase 29 valid-domain MAE regression,yes,Rejects proxy designs that trade lower volume bias for worse depth errors.
valid_domain,valid_domain_false_dry_rate,valid_domain,lower_or_no_worse_than_predeclared_tolerance,"Phase 27=0.0689175; Phase 29=0.0739891; delta=0.00507161, improved=False",False-dry expansion inside the physical target domain,yes,Required because Phase 29 worsened valid-domain false-dry behavior.
valid_domain,valid_domain_false_wet_rate,valid_domain,lower_or_no_worse_than_predeclared_tolerance,"Phase 27=0.0181923; Phase 29=0.0194308; delta=0.00123854, improved=False",False-wet expansion inside the physical target domain,yes,Required because Phase 29 worsened valid-domain false-wet behavior.
valid_domain,valid_domain_relative_volume_bias_proxy,valid_domain,absolute_value_lower_without_standard_metric_regression,Phase 27=0.0169359; Phase 29=0.0115344; delta=-0.00540148,Ungrounded volume-proxy improvement claim,yes,Proxy only; does not imply strict or full mass conservation.
boundary_ring,boundary_ring_false_dry_rate,boundary_ring,lower_or_no_worse_than_predeclared_tolerance,"Phase 27=0.086765; Phase 29=0.105113; delta=0.0183478, improved=False",Boundary-ring false-dry degradation,yes,Boundary-aware proxy guardrail; no boundary flux closure is claimed.
boundary_ring,boundary_ring_false_wet_rate,boundary_ring,lower_or_no_worse_than_predeclared_tolerance,"Phase 27=0.016035; Phase 29=0.0165537; delta=0.000518668, improved=False",Spurious wet expansion near valid-domain edges,yes,Boundary cells remain ambiguous without measured boundary conditions.
boundary_ring,boundary_ring_peak_depth_underprediction,boundary_ring,lower_or_no_worse_than_predeclared_tolerance,"Phase 27=0.188558; Phase 29=0.210368; delta=0.0218101, improved=False",Boundary peak-depth underprediction,yes,Depth-raster proxy only; not a boundary-condition residual.
high_impervious_valid,high_impervious_false_wet_rate,high_impervious_valid,lower_or_no_worse_than_predeclared_tolerance,"Phase 27=0.0222047; Phase 29=0.0239894; delta=0.0017847, improved=False",Highest Phase 29 region-specific false-wet behavior,yes,"Imperviousness is a static runoff proxy, not hydraulic forcing."
high_impervious_valid,high_impervious_false_wet_volume_excess_proxy,high_impervious_valid,lower_or_no_worse_than_predeclared_tolerance,"Phase 27=3299.28; Phase 29=3610.91; delta=311.626, improved=False",Spurious high-impervious predicted-volume excess,yes,Volume-excess proxy only; no conservation claim.
manhole_nonzero_valid,manhole_nonzero_false_dry_rate,manhole_nonzero_valid,lower_or_no_worse_than_predeclared_tolerance,"Phase 27=0.117223; Phase 29=0.131298; delta=0.014075, improved=False",Highest Phase 29 region-specific false-dry behavior,yes,"Manholes are sparse indicators, not source/sink fields."
manhole_nonzero_valid,manhole_nonzero_false_dry_volume_loss_proxy,manhole_nonzero_valid,lower_or_no_worse_than_predeclared_tolerance,"Phase 27=539.342; Phase 29=652.678; delta=113.335, improved=False",Manhole-region underprediction volume-loss proxy,yes,Proxy diagnostic only; not drainage-network closure.
dry_threshold,dry_or_threshold_predicted_volume_contribution,dry_or_threshold_valid_domain,must_be_predeclared_and_bounded,Phase 28 dry_or_threshold failure diagnosis plus Phase 27/29 masked baselines,Low-depth accumulation and false-wet volume inflation,yes,Threshold definitions must be fixed before any pilot.
level_boundary,no_level5_claim,claim_scope,must_hold,Phase 31/32 Level 4+ boundary statements,Overclaiming unsupported strong physics,yes,"Level 5 remains unsupported without hydrodynamic state, fluxes, dx/dy, dt, and boundary fields."
level_boundary,no_swe_pinn_claim,claim_scope,must_hold,Phase 31/32 Level 4+ boundary statements,Unsupported SWE/PINN residual claim,yes,The design is not a SWE/PINN implementation.
level_boundary,no_strict_conservation_claim,claim_scope,must_hold,Phase 31/32 Level 4+ boundary statements,Unsupported strict or full mass-conservation claim,yes,Only depth-raster volume-bias proxies are available.
