request_id,export_requirement,details,required_for_minimum_contract,acceptable_source_models,blocking_if_absent,notes
EXT-01,2D water depth,Export depth or water level plus bed elevation needed to recover depth.,true,InfoWorks ICM; MIKE+; UrbanFlood24 full dataset; equivalent hydrodynamic source,true,Required for future SWE residual feasibility review; does not authorize implementation.
EXT-02,2D velocity vector or flux/discharge components,"Export u/v and/or qx/qy with axis, sign, centering, and units.",true,InfoWorks ICM; MIKE+; UrbanFlood24 full dataset; equivalent hydrodynamic source,true,Required for future SWE residual feasibility review; does not authorize implementation.
EXT-03,timestep duration,Export simulation timestep and output timestep metadata.,true,InfoWorks ICM; MIKE+; UrbanFlood24 full dataset; equivalent hydrodynamic source,true,Required for future SWE residual feasibility review; does not authorize implementation.
EXT-04,cell size / grid spacing / mesh geometry,Export raster cell size or full mesh nodes/elements/cell areas.,true,InfoWorks ICM; MIKE+; UrbanFlood24 full dataset; equivalent hydrodynamic source,true,Required for future SWE residual feasibility review; does not authorize implementation.
EXT-05,terrain / bed elevation,"Export DEM, bed elevation, ground model, vertical datum, and nodata values.",true,InfoWorks ICM; MIKE+; UrbanFlood24 full dataset; equivalent hydrodynamic source,true,Required for future SWE residual feasibility review; does not authorize implementation.
EXT-06,boundary inflow/outflow/water-level series,"Export boundary type, location, values, units, and time series.",true,InfoWorks ICM; MIKE+; UrbanFlood24 full dataset; equivalent hydrodynamic source,true,Required for future SWE residual feasibility review; does not authorize implementation.
EXT-07,rainfall source series,Export rainfall forcing as rates or interval depths plus spatial allocation.,true,InfoWorks ICM; MIKE+; UrbanFlood24 full dataset; equivalent hydrodynamic source,true,Required for future SWE residual feasibility review; does not authorize implementation.
EXT-08,sewer/drainage/outfall/source-sink exchange,"Export all represented lateral, drainage, sewer, outfall, infiltration, and loss terms.",true,InfoWorks ICM; MIKE+; UrbanFlood24 full dataset; equivalent hydrodynamic source,true,Required for future SWE residual feasibility review; does not authorize implementation.
EXT-09,pump/gate operation states and flows,"Export control states, schedules, openings, and realized flows.",true,InfoWorks ICM; MIKE+; UrbanFlood24 full dataset; equivalent hydrodynamic source,true,Required for future SWE residual feasibility review; does not authorize implementation.
EXT-10,coordinate reference system,"Export CRS/EPSG, projection units, origin, orientation, and vertical datum.",true,InfoWorks ICM; MIKE+; UrbanFlood24 full dataset; equivalent hydrodynamic source,true,Required for future SWE residual feasibility review; does not authorize implementation.
EXT-11,scenario/event metadata,"Export scenario name, event ID, model version, run settings, and export timestamp.",true,InfoWorks ICM; MIKE+; UrbanFlood24 full dataset; equivalent hydrodynamic source,true,Required for future SWE residual feasibility review; does not authorize implementation.
EXT-12,export units and scaling,"Export units, scaling, nodata, sign conventions, and conversion notes for every field.",true,InfoWorks ICM; MIKE+; UrbanFlood24 full dataset; equivalent hydrodynamic source,true,Required for future SWE residual feasibility review; does not authorize implementation.
EXT-13,alignment rules to current flood/rain/static arrays,Document how source mesh/grid fields map to repository arrays and event horizons.,true,InfoWorks ICM; MIKE+; UrbanFlood24 full dataset; equivalent hydrodynamic source,true,Required for future SWE residual feasibility review; does not authorize implementation.
