split,location,scenario,scenario_type,peak_target_depth,peak_pred_depth,peak_depth_underprediction_proxy,peak_timing_error_proxy,target_peak_global_step,pred_peak_global_step
test,location1,G1135_intensity_103,measured,1.6391682624816895,1.6542322635650635,0.0,0,215,215
test,location1,G1135_intensity_161,measured,1.5366705656051636,1.5476961135864258,0.0,11,204,215
test,location1,G1166_intensity_246,measured,1.602015733718872,1.6110811233520508,0.0,2,348,350
test,location1,G1166_intensity_394,measured,1.9416329860687256,1.96690833568573,0.0,96,348,252
test,location1,G3501_intensity_151,measured,1.591009497642517,1.6030257940292358,0.0,0,311,311
test,location1,G3531_intensity_128,measured,1.7513091564178467,1.7765047550201416,0.0,37,204,167
test,location1,r100y_p0.5_d3h,design,1.99599027633667,2.0085628032684326,0.0,11,204,215
test,location1,r100y_p0.8_d3h,design,2.0066921710968018,2.022212266921997,0.0,11,204,215
test,location1,r200y_p0.5_d3h,design,2.053644895553589,2.036886692047119,0.016758203506469727,0,204,204
test,location1,r200y_p0.7_d3h,design,2.0695443153381348,2.0465455055236816,0.022998809814453125,0,204,204
test,location1,r300y_p0.1_d3h,design,2.056236982345581,2.038039207458496,0.01819777488708496,0,167,167
test,location1,r300y_p0.5_d3h,design,2.0905442237854004,2.0542848110198975,0.03625941276550293,0,204,204
test,location1,r300y_p0.6_d3h,design,2.0998735427856445,2.049703359603882,0.050170183181762695,11,204,215
test,location1,r300y_p0.8_d3h,design,2.1098875999450684,2.076862335205078,0.033025264739990234,11,204,215
test,location1,r500y_p0.1_d3h,design,2.1000711917877197,2.061112880706787,0.03895831108093262,0,167,167
test,location1,r500y_p0.3_d3h,design,2.1143088340759277,2.0692806243896484,0.0450282096862793,11,204,215
test,location2,G1135_intensity_103,measured,1.7207486629486084,1.9731961488723755,0.0,5,162,157
test,location2,G1135_intensity_161,measured,1.450067162513733,1.560758113861084,0.0,1,156,157
test,location2,G1166_intensity_246,measured,1.8277907371520996,1.9193898439407349,0.0,1,301,302
test,location2,G1166_intensity_394,measured,1.911799430847168,2.195683002471924,0.0,1,252,253
test,location2,G3501_intensity_151,measured,1.8582301139831543,2.035646677017212,0.0,1,65,66
test,location2,G3531_intensity_128,measured,1.920006513595581,2.1722216606140137,0.0,2,108,110
test,location2,r100y_p0.5_d3h,design,2.723897933959961,2.808615207672119,0.0,7,112,119
test,location2,r100y_p0.8_d3h,design,2.7810397148132324,2.831880569458008,0.0,8,159,167
test,location2,r200y_p0.5_d3h,design,2.802802324295044,2.8178772926330566,0.0,5,110,115
test,location2,r200y_p0.7_d3h,design,2.6574695110321045,2.604567766189575,0.0529017448425293,2,156,158
test,location2,r300y_p0.1_d3h,design,2.4913830757141113,2.4731757640838623,0.018207311630249023,0,84,84
test,location2,r300y_p0.5_d3h,design,2.601851463317871,2.5458900928497314,0.05596137046813965,2,132,134
test,location2,r300y_p0.6_d3h,design,2.815062999725342,2.723261833190918,0.09180116653442383,2,132,134
test,location2,r300y_p0.8_d3h,design,2.903520107269287,2.844587564468384,0.05893254280090332,6,157,163
test,location2,r500y_p0.1_d3h,design,2.5204992294311523,2.476625680923462,0.04387354850769043,3,84,87
test,location2,r500y_p0.3_d3h,design,2.799431800842285,2.798922061920166,0.0005097389221191406,2,84,86
test,location3,G1135_intensity_103,measured,1.5508058071136475,1.5844188928604126,0.0,2,158,156
test,location3,G1135_intensity_161,measured,1.4741727113723755,1.517911434173584,0.0,3,156,159
test,location3,G1166_intensity_246,measured,1.549285650253296,1.5554816722869873,0.0,0,300,300
test,location3,G1166_intensity_394,measured,1.8979105949401855,1.8944263458251953,0.0034842491149902344,95,348,253
test,location3,G3501_intensity_151,measured,1.4196462631225586,1.4366775751113892,0.0,3,63,66
test,location3,G3531_intensity_128,measured,1.6050019264221191,1.621704339981079,0.0,86,204,118
test,location3,r100y_p0.5_d3h,design,1.905573844909668,1.925819754600525,0.0,48,167,215
test,location3,r100y_p0.8_d3h,design,1.9246089458465576,1.9531327486038208,0.0,11,204,215
test,location3,r200y_p0.5_d3h,design,1.958777666091919,1.9407349824905396,0.018042683601379395,0,167,167
test,location3,r200y_p0.7_d3h,design,1.9756193161010742,1.9562071561813354,0.01941215991973877,0,167,167
test,location3,r300y_p0.1_d3h,design,1.9552191495895386,1.952032208442688,0.003186941146850586,0,167,167
test,location3,r300y_p0.5_d3h,design,1.9823250770568848,1.9506667852401733,0.031658291816711426,0,167,167
test,location3,r300y_p0.6_d3h,design,1.9915499687194824,1.9560391902923584,0.03551077842712402,0,167,167
test,location3,r300y_p0.8_d3h,design,2.011094808578491,1.9536699056625366,0.05742490291595459,48,167,215
test,location3,r500y_p0.1_d3h,design,1.9793202877044678,1.960864782333374,0.01845550537109375,0,167,167
test,location3,r500y_p0.3_d3h,design,1.9907203912734985,1.950181245803833,0.04053914546966553,0,167,167
